Outer_Fold,Test_Subject,Feature,Importance_Mean,Importance_Std
2,C,Left_Speed_Std,0.525678207902018,0.2080169443003372
2,C,Right_Mean_Speed,-0.01604596522437219,0.016900713279467416
2,C,Right_Median_Speed,0.0,0.0
2,C,Right_Max_Speed,-0.0047191044404672295,0.010552238321805834
2,C,Right_Speed_Std,0.012697016502298996,0.028355091244381715
2,C,Left_Idle_Ratio,0.11381802041817349,0.07432841844655155
2,C,Left_Idle_Time,-0.0017177417931017716,0.0014363636804047236
2,C,Right_Idle_Ratio,-0.016039691398832635,0.024501033319627365
2,C,Right_Idle_Time,-0.10473353093730736,0.07476467547130802
2,C,Left_Mean_Acceleration,0.01121147116117281,0.017125805082629116
2,C,Left_Median_Acceleration,0.06727902323316917,0.11130945870067059
2,C,Left_Max_Acceleration,-0.034939764846080835,0.03896633386770364
2,C,Left_Acceleration_Std,0.10975899988602839,0.07144147682767298
2,C,Right_Mean_Acceleration,0.0,0.0
2,C,Right_Median_Acceleration,0.0,0.0
2,C,Right_Max_Acceleration,0.0,0.0
2,C,Right_Acceleration_Std,0.05782720160390419,0.063930376798796
2,C,Left_Mean_Jerk,0.0,0.0
2,C,Left_Median_Jerk,0.028605929900886076,0.019097297456230063
2,C,Left_Max_Jerk,-0.19931800402480587,0.14211054349894003
2,C,Left_Jerk_Std,0.0,0.0
2,C,Right_Mean_Jerk,0.0,0.0
2,C,Right_Median_Jerk,0.0,0.0
2,C,Right_Max_Jerk,-0.01216889222387311,0.02552568367365414
2,C,Right_Jerk_Std,0.0,0.0
3,D,Duration_Seconds,0.017437981869191935,0.06594956941605876
3,D,Left_Mean_Speed,0.021938108150217534,0.0334970344192434
3,D,Left_Median_Speed,-0.02016409822481428,0.020635636605233966
3,D,Left_Max_Speed,0.0017211559258980844,0.004135972532475163
3,D,Left_Speed_Std,-0.01265286759616638,0.03880420448195617
3,D,Right_Mean_Speed,0.050908163953732675,0.08173673157562476
3,D,Right_Median_Speed,-0.0011948345515087055,0.010030134247857684
3,D,Right_Max_Speed,0.005317784314399591,0.011323574930111425
3,D,Right_Speed_Std,0.07981312116331508,0.07802612511297287
3,D,Left_Idle_Ratio,0.00510488822214632,0.010209776444292752
3,D,Left_Idle_Time,0.023656486706765324,0.022286125740853445
3,D,Right_Idle_Ratio,0.3536734933688471,0.21371837973333285
3,D,Right_Idle_Time,-0.024180052796853084,0.04204759842796356
3,D,Left_Mean_Acceleration,0.0,0.0
3,D,Left_Median_Acceleration,0.01072185012593169,0.015671372979432163
3,D,Left_Max_Acceleration,-0.007256810690016277,0.027152499322719795
3,D,Left_Acceleration_Std,-0.044272092569006445,0.05033452857837675
3,D,Right_Mean_Acceleration,0.04789048351125795,0.04249832553869431
3,D,Right_Median_Acceleration,0.01951535208015057,0.028271371681597195
3,D,Right_Max_Acceleration,0.027820198617402807,0.02589068829508767
3,D,Right_Acceleration_Std,0.026904740665776705,0.045752510756284094
3,D,Left_Mean_Jerk,-0.006320842296726988,0.012641684593453977
3,D,Left_Median_Jerk,0.0,0.0
3,D,Left_Max_Jerk,0.02107233835158757,0.02071912228834424
3,D,Left_Jerk_Std,0.02949709436579616,0.17131276961202657
3,D,Right_Mean_Jerk,0.0023769112170293205,0.008990370414626728
3,D,Right_Median_Jerk,-0.03125167938654401,0.07207175610443209
3,D,Right_Max_Jerk,0.000858431497609106,0.030944818524520034
3,D,Right_Jerk_Std,0.0,0.0
4,E,Duration_Seconds,0.14826493648408529,0.05433712059456827
4,E,Left_Mean_Speed,0.03255095306813243,0.07094886173606206
4,E,Left_Median_Speed,-0.0490196004571714,0.02580487183902244
4,E,Left_Max_Speed,-0.10082780218192793,0.03970267009408903
4,E,Left_Speed_Std,-0.04760544746885058,0.1708790204086517
4,E,Right_Mean_Speed,-0.08494830111552071,0.054954306807956925
4,E,Right_Median_Speed,-0.19483855234480177,0.14580929141228208
4,E,Right_Max_Speed,-0.060086896469937506,0.03904530848903169
4,E,Right_Speed_Std,-0.022427422705936242,0.05160103667542784
4,E,Left_Idle_Ratio,-0.039228844962323026,0.020921576529275943
4,E,Left_Idle_Time,0.10827528425468873,0.04971344933274439
4,E,Right_Idle_Ratio,-0.33169094216328515,0.16614997006147655
4,E,Right_Idle_Time,-0.038883170304238907,0.08145551471492275
4,E,Left_Mean_Acceleration,-0.02912366020898182,0.024295335035389866
4,E,Left_Median_Acceleration,0.010864490018723257,0.005775098327009531
4,E,Left_Max_Acceleration,0.004663704946705316,0.017437629452711323
4,E,Left_Acceleration_Std,-0.05564179082843633,0.06906780221661747
4,E,Right_Mean_Acceleration,0.08237911483339276,0.03943175779367207
4,E,Right_Median_Acceleration,0.012927070884071589,0.041206917067943286
4,E,Right_Max_Acceleration,-0.012473243508811679,0.02948418104209923
4,E,Right_Acceleration_Std,0.00390725686931542,0.008514499444041637
4,E,Left_Mean_Jerk,-0.02480035232737657,0.09197548284396251
4,E,Left_Median_Jerk,-0.09964346492932877,0.05323559667080064
4,E,Left_Max_Jerk,0.034612912464387156,0.05569566447551507
4,E,Left_Jerk_Std,0.00133282183678561,0.07848557273395121
4,E,Right_Mean_Jerk,-0.041065192557681485,0.03555725824756202
4,E,Right_Median_Jerk,-0.06363399372547057,0.05456984314048701
4,E,Right_Max_Jerk,-0.036297236572233306,0.016895917964715648
4,E,Right_Jerk_Std,0.04512625936760009,0.01591073381214006
5,F,Duration_Seconds,-0.057649659342439465,0.0888025791292793
5,F,Left_Mean_Speed,0.005739283206895844,0.12515571308087733
5,F,Left_Median_Speed,-0.27669076626625155,0.1299015856457297
5,F,Left_Max_Speed,-0.03218008746169329,0.04229292069688428
5,F,Left_Speed_Std,1.11619007428989,0.6247596355752366
5,F,Right_Mean_Speed,-0.3738534570038356,0.29868727558788893
5,F,Right_Median_Speed,0.026541610441736464,0.0680737393078584
5,F,Right_Max_Speed,-0.011420181693246493,0.02042904206519667
5,F,Right_Speed_Std,0.06310988711773075,0.08849832453643211
5,F,Left_Idle_Ratio,0.04324278706584043,0.21706833009474405
5,F,Left_Idle_Time,-0.008928313640041718,0.021253637615979093
5,F,Right_Idle_Ratio,0.08348969906984352,0.2347882076646991
5,F,Right_Idle_Time,-0.32904468491425976,0.1777663348680516
5,F,Left_Mean_Acceleration,-0.048104246829595326,0.026470275030598876
5,F,Left_Median_Acceleration,-0.07836485020965131,0.05541231698991199
5,F,Left_Max_Acceleration,0.006655876252891257,0.07260703791343873
5,F,Left_Acceleration_Std,0.5667045433554342,0.28036465803822
5,F,Right_Mean_Acceleration,0.0638750504478779,0.04300490400671657
5,F,Right_Median_Acceleration,0.026336307266796883,0.018622581459764625
5,F,Right_Max_Acceleration,-0.1256143965454852,0.12309406300624481
5,F,Right_Acceleration_Std,0.00783349491046872,0.08250718809957008
5,F,Left_Mean_Jerk,0.3315956156354778,0.17448209703727513
5,F,Left_Median_Jerk,0.061615482756408234,0.033905089097077803
5,F,Left_Max_Jerk,-0.10847302991002386,0.09016942613947393
5,F,Left_Jerk_Std,0.1081669770872358,0.254309235519887
5,F,Right_Mean_Jerk,0.0,0.0
5,F,Right_Median_Jerk,-0.0020646408306493375,0.04658042030324543
5,F,Right_Max_Jerk,0.0,0.0
5,F,Right_Jerk_Std,-0.04167259032965684,0.2365411931577955
6,G,Duration_Seconds,0.047568363543087334,0.04912376246819028
6,G,Left_Mean_Speed,-0.06982058323947002,0.03190649732791297
6,G,Left_Median_Speed,0.016774614158992427,0.039723251593458214
6,G,Left_Max_Speed,-0.03866921754813844,0.019868277071091223
6,G,Left_Speed_Std,0.42977589446244335,0.2361870971466652
6,G,Right_Mean_Speed,-0.013709643278384547,0.013922167292581633
6,G,Right_Median_Speed,0.663155882673056,0.33809204750279076
6,G,Right_Max_Speed,-0.07214266921394691,0.027998254437822483
6,G,Right_Speed_Std,-0.28480975670232844,0.09973581715344616
6,G,Left_Idle_Ratio,-0.05791571888043275,0.047223461618919216
6,G,Left_Idle_Time,0.026028767593244653,0.050901511429523545
6,G,Right_Idle_Ratio,0.3206829860260452,0.18245462596593318
6,G,Right_Idle_Time,0.11657723843126888,0.04260427439550396
6,G,Left_Mean_Acceleration,0.04580440464128159,0.040354688484277
6,G,Left_Median_Acceleration,0.06617581595219084,0.03213398293015499
6,G,Left_Max_Acceleration,0.005595913825201126,0.013632943864733757
6,G,Left_Acceleration_Std,0.011605928018200758,0.04053552783698445
6,G,Right_Mean_Acceleration,0.02559973433425699,0.017987063573682644
6,G,Right_Median_Acceleration,0.03276584126558634,0.03098487998077421
6,G,Right_Max_Acceleration,-0.06535617614189623,0.0499698611082896
6,G,Right_Acceleration_Std,-0.030365310118536264,0.028957771245052
6,G,Left_Mean_Jerk,0.09647341941653594,0.07161257264721557
6,G,Left_Median_Jerk,0.03329523661651453,0.0364532419093252
6,G,Left_Max_Jerk,-0.053195176150246166,0.12162188733908359
6,G,Left_Jerk_Std,0.14072360026760314,0.08577977363540003
6,G,Right_Mean_Jerk,-0.011182819304005005,0.04224500223419604
6,G,Right_Median_Jerk,0.04451022423322571,0.014332750917445338
6,G,Right_Max_Jerk,-0.06033848759340102,0.04640157831285033
6,G,Right_Jerk_Std,0.052294587070720114,0.027116656005986114
7,H,Duration_Seconds,0.07060184433509381,0.09984608578724456
7,H,Left_Mean_Speed,-0.0684915651067016,0.09001555185054527
7,H,Left_Median_Speed,0.020331086583080863,0.024900394022446995
7,H,Left_Max_Speed,-0.2270205394549004,0.11780036850419354
7,H,Left_Speed_Std,0.013340910497294209,0.04991711630849611
7,H,Right_Mean_Speed,0.042328753260341107,0.05563088064843298
7,H,Right_Median_Speed,-0.010944274857697452,0.0218885497153935
7,H,Right_Max_Speed,-0.03320477563278222,0.04695864403543515
7,H,Right_Speed_Std,0.0,0.0
7,H,Left_Idle_Ratio,0.0,0.0
7,H,Left_Idle_Time,0.028034326366108343,0.05606865273221779
7,H,Right_Idle_Ratio,-0.05097551366359624,0.07786638331756099
7,H,Right_Idle_Time,-0.11419787678487066,0.09324217594405197
7,H,Left_Mean_Acceleration,0.0,0.0
7,H,Left_Median_Acceleration,0.0,0.0
7,H,Left_Max_Acceleration,0.0,0.0
7,H,Left_Acceleration_Std,0.0,0.0
7,H,Right_Mean_Acceleration,0.0,0.0
7,H,Right_Median_Acceleration,0.0048494073156247685,0.07617209223259164
7,H,Right_Max_Acceleration,0.0,0.0
7,H,Right_Acceleration_Std,-0.032613760357687746,0.060430096580956966
7,H,Left_Mean_Jerk,0.0616793843000045,0.09648259078556361
7,H,Left_Median_Jerk,-0.025767565986386062,0.0393606072024599
7,H,Left_Max_Jerk,-0.02623060818063402,0.07869182454190068
7,H,Left_Jerk_Std,0.17675719995869474,0.2020895730293469
7,H,Right_Mean_Jerk,-0.06896848739933696,0.07123531856118957
7,H,Right_Median_Jerk,0.17289356700891692,0.16729474558712087
7,H,Right_Max_Jerk,0.0,0.0
7,H,Right_Jerk_Std,0.056828344121500805,0.05682834412150116
8,I,Duration_Seconds,-0.13787016475908434,0.04987095155787668
8,I,Left_Mean_Speed,-0.022242359853769322,0.05686778082255545
8,I,Left_Median_Speed,0.07167388173819754,0.03040371804332364
8,I,Left_Max_Speed,-0.013734429380656868,0.03914257690127738
8,I,Left_Speed_Std,0.17055280208061455,0.12502754298319105
8,I,Right_Mean_Speed,-0.012068417932734535,0.012232117464048375
8,I,Right_Median_Speed,0.10781752284068981,0.029471408627510094
8,I,Right_Max_Speed,0.05514806337438127,0.03696478034682871
8,I,Right_Speed_Std,0.04411702288537907,0.029208715860082984
